Year,Service,Multi.Service ,Other.Service,Investment.Type,Type.Book,Wheeled Vehicles,P1.Line.Item.Number,System.Title,Anomalous,MDAP,Unit.Cost.Millions,Current.Year Gross.Cost.Millions,FY2020.Procurement ,Inventory.Objective ,Peacetime.Production ,Efficiency.Production ,Surge.Rate.Years,Surge.Rate.Months,Surge.Rate.Leadtime.Years,Surge.Rate.Leadtime.1-8-5.Years,Adjusted.Surge.Rate.Years,Agg.MSR.Years,Agg.1-8-5.Years,Agg.Max.Years,Avg.Production.Leadtime. Years,Avg.Production.Leadtime. Months
1999,Army,0,NA,MM,Ammo,Other Programs,E78001,CTG 120MM APFSDS-T M829A2/M829E3,1,Non-MDAP,4.85,9.7,2,144,72,4,2,24,3.17,1.42,2.58,24,36,72,1.166666667,14
1999,Army,0,NA,MM,Ammo,Other Programs,E31900,FUZE GRENADE HAND PRAC M228,1,Non-MDAP,0.002388759,5.1,2135,87715,41.08430913,9.136979167,664.5075758,7974.090909,665.26,609.96,610.71,4800,9600,132,0.75,9
1999,Army,0,NA,MM,Ammo,Other Programs,E34002,GRENADE HAND SMOKE YELLOW M18,1,Non-MDAP,0.033076923,4.3,130,2566,19.73846154,1.781944444,0.742476852,8.909722222,1.83,0.29,1.37,720,1440,3456,1.083333333,13
1999,Army,0,NA,MM,Ammo,Other Programs,E34004,GRENADE HAND SMOKE VIOLET M18,1,Non-MDAP,0.038356164,2.8,73,1333,18.26027397,0.925694444,0.385706019,4.628472222,1.47,-0.07,1.02,720,1440,3456,1.083333333,13
1999,Army,0,NA,MM,Ammo,Other Programs,E69300,GRENADE HAND SMOKE TNG M83,1,Non-MDAP,0.041545894,8.6,207,1759,8.497584541,1.308779762,0.546952736,6.563432836,1.63,0.09,1.18,672,1344,3216,1.083333333,13
1999,Army,0,NA,MM,Ammo,Other Programs,E90000,CTG 81MM INFRARED (IR) ILLUM XM816,1,Non-MDAP,1.175,9.4,8,8,1,0.013333333,0.005333333,0.064,1.51,-0.59,0.91,84,600,1500,1.5,18
1999,Army,0,NA,MM,Ammo,Other Programs,E66800,PROJ ARTY 155MM HE M795,1,Non-MDAP,NA,NA,NA,367,NA,1.699074074,0.664855072,7.97826087,2,0.14,1.48,156,216,552,1.333333333,16
1999,Army,0,NA,MM,Ammo,Other Programs,E78007,CTG 120MM HEAT-MP-T M830A1,1,Non-MDAP,NA,NA,NA,77,NA,2.138888889,1.283333333,15.4,2.28,0.68,1.68,24,36,60,1,12
1999,Army,0,NA,MM,Ammo,Other Programs,E62900,SMOKE POT PRACTICE M8,1,Non-MDAP,0.405882353,6.9,17,122,7.176470588,0.00147343,0.000498366,0.005980392,1.33,-0.45,0.88,81600,82800,244800,1.333333333,16
1999,Army,0,NA,MM,Ammo,Other Programs,E46800,SIGNAL ILLUM GND WS PARA M127A1,1,Non-MDAP,0.040384615,2.1,52,10375,199.5192308,14.40972222,5.763888889,69.16666667,6.76,5.36,6.36,216,720,1800,1,12
1999,Army,0,NA,MM,Ammo,Other Programs,E49200,FLARE SURFACE TRIP M49 SERIES,1,Non-MDAP,0.0184,2.3,125,15277,122.216,63.65416667,25.46166667,305.54,26.63,25,26.16,240,240,600,1.166666667,14
1999,Army,0,NA,MM,Ammo,Other Programs,E66300,PROJ ARTY 155MM SADARM M898,1,MDAP,0.102727273,56.5,550,50000,90.90909091,17.95977011,7.183908046,86.20689655,8.6,6.62,8.03,2508,2784,6960,1.416666667,17
1999,Army,0,NA,MM,Ammo,Other Programs,E27601,PROJ ARTY 155MM HE M107,1,Non-MDAP,0.207258065,25.7,124,27935,225.2822581,46.55833333,18.62333333,223.48,19.62,18.22,19.22,444,600,1500,1,12
1999,Army,0,NA,MM,Ammo,Other Programs,E25507,CTG MORTAR 120MM FULL RANGE PRACTICE M9,1,Non-MDAP,0.409278351,39.7,97,714,7.360824742,1.293478261,0.457692308,5.492307692,1.71,0.02,1.27,360,552,1560,1.25,15
1999,Army,0,NA,MM,Ammo,Other Programs,E25501,CTG MORTAR 120MM HE M934A1 W/MO FUZE,1,Non-MDAP,0.881818182,29.1,33,100,3.03030303,0.333333333,0.119047619,1.428571429,1.62,-0.42,1.08,156,300,840,1.5,18
1999,Army,0,NA,MM,Ammo,Other Programs,E73300,CTG TANK 120MM TP-T M831/M831A1,1,Non-MDAP,0.575238095,60.4,105,1263,12.02857143,3.758928571,1.315625,15.7875,2.07,1.05,1.8,288,336,960,0.75,9
1999,Army,0,NA,MM,Ammo,Other Programs,E73400,CTG TANK 120MM TPCSDS-T M865,1,Non-MDAP,0.54125,129.9,240,3136,13.06666667,9.011494253,3.266666667,39.2,4.02,2.99,3.74,288,348,960,0.75,9
1999,Army,0,NA,MM,Ammo,Other Programs,E72195,MINE AT M87 (VOLCANO) ,1,Non-MDAP,NA,NA,NA,179,NA,1.864583333,0.678030303,8.136363636,1.84,0.25,1.42,72,96,264,1.166666667,14
1999,Army,0,NA,MM,Ammo,Other Programs,E25503,CTG MORTAR 120MM ILLUM XM930 W/MTSQ FZ,1,Non-MDAP,NA,NA,NA,15,NA,0.03125,0.010416667,0.125,2.01,-0.66,1.34,240,480,1440,2,24
1999,Army,0,NA,MM,Ammo,Other Programs,E49700,SIMULATOR PROJ GND BURST M115A2,1,Non-MDAP,NA,0.1,NA,12793,NA,8.884027778,3.65097032,43.81164384,4.65,3.24,4.24,1260,1440,3504,1,12
1999,Army,0,NA,MM,Ammo,Other Programs,E25504,CTG MORTAR 120MM SMOKE M929 W/MO FUZE ,1,Non-MDAP,NA,NA,NA,170,NA,0.566666667,0.202380952,2.428571429,1.7,-0.33,1.17,180,300,840,1.5,18
1999,Army,0,NA,MM,Ammo,Other Programs,E78100,WIDE AREA MUNITIONS,1,Non-MDAP,0.12,9.6,80,3165,39.5625,6.59375,0.879166667,10.55,2.96,0.6,2.68,120,480,3600,2.083333333,25
1999,Army,1,Marine Corps,MM,Missiles,Other Programs,CC0007,JAVELIN (AAWS-M) SYSTEM SUMMARY,0,Non-MDAP,0.105595267,428.4,4057,28267,6.967463643,5.223022912,2.441018998,29.29222798,4.02,1.7,3.28,4872,5412,11580,1.583333333,19
1999,Army,0,NA,MM,Missiles,Other Programs,C93000,AIR DEFENSE TARGETS,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1236,1884,2760,0.25,3
1999,Army,1,Navy,MM,Missiles,Other Programs,C70100,LASER HELLFIRE MSL (BASIC/IHW/HFII) ,0,MDAP,NA,NA,NA,"55,240",NA,18.41333333,8.768253968,105.2190476,10.68,7.86,9.77,1248,3000,6300,1.916666667,23
1999,Army,0,NA,MM,Missiles,Other Programs,C70300,LONGBOW HELLFIRE,0,MDAP,0.151,302,2000,12905,6.4525,NA,4.595797721,55.14957265,6.18,4.6,6.18,1200,0,2808,1.583333333,19
1999,Army,0,NA,MM,Missiles,Other Programs,H03100,ENHANCED FIBER OPTIC GUIDED MISSILE (EFO,1,Non-MDAP,0.142708333,13.7,96,192,2,1.6,0.2,2.4,1.28,0.06,1.15,120,120,960,1.083333333,13
1999,Army,0,NA,MM,Missiles,Other Programs,C59300,TOW 2 SYSTEM SUMMARY,0,Non-MDAP,NA,NA,NA,144783,NA,24.1305,12.06525,144.783,13.32,11.44,12.69,6000,6000,12000,1.25,15
1999,Army,0,NA,MM,Missiles,Other Programs,C65402,MLRS EXTENDED RANGE ROCKET,0,MDAP,0.038732394,16.5,426,484500,1137.323944,NA,NA,NA,NA,NA,NA,18000,0,0,1.333333333,16
1999,Army,0,NA,MM,Missiles,Other Programs,C65900,MLRS LAUNCHER,0,MDAP,3.558333333,85.4,24,1610,67.08333333,8.385416667,3.946078431,47.35294118,4.64,3.62,4.31,72,192,408,0.694444444,8.333333333
1999,Army,0,NA,MM,Missiles,Other Programs,C98510,ARMY TACTICAL MSL SYS (ATACMS) - SYS SUM,0,MDAP,0.94375,90.6,96,2220,23.125,4.868421053,3.854166667,46.25,5.19,2.8,4.13,120,456,576,1.333333333,16
1999,Army,0,NA,MM,Missiles,Other Programs,CA6105,ATACMS BLK II ,0,MDAP,1.636666667,49.1,30,1806,60.2,3.960526316,3.135416667,37.625,3.14,3.14,3.14,120,456,576,0,0
1999,Army,0,NA,MM,Missiles,Other Programs,CA6100,BAT,0,Non-MDAP,0.239047619,100.4,420,19700,46.9047619,6.840277778,2.736111111,32.83333333,2.74,2.74,2.74,1440,2880,7200,0,0
1999,Army,0,NA,MM,Missiles,Other Programs,C16000,AVENGER SYSTEM SUMMARY,0,Non-MDAP,1.857894737,35.3,19,969,51,6.729166667,2.01875,24.225,2.35,1.92,2.25,36,144,480,0.333333333,4
